Date,Close
"Jun 03, 2016",1.1830
"Jun 02, 2016",1.1803
"Jun 01, 2016",1.1821
"May 31, 2016",1.1805
"May 30, 2016",1.1804
"May 27, 2016",1.1833
"May 26, 2016",1.1843
"May 25, 2016",1.1851
"May 24, 2016",1.1847
"May 23, 2016",1.1850
"May 20, 2016",1.1868
"May 19, 2016",1.1865
"May 18, 2016",1.1879
"May 17, 2016",1.1904
"May 16, 2016",1.1904
"May 13, 2016",1.1883
"May 12, 2016",1.1907
"May 11, 2016",1.1954
"May 10, 2016",1.1909
"May 09, 2016",1.1913
"May 06, 2016",1.1943
"May 05, 2016",1.1932
"May 04, 2016",1.1950
"May 03, 2016",1.1940
"May 02, 2016",1.1987
"Apr 29, 2016",1.1978
"Apr 28, 2016",1.1981
"Apr 27, 2016",1.1948
"Apr 26, 2016",1.1941
"Apr 25, 2016",1.1942
"Apr 22, 2016",1.1927
"Apr 21, 2016",1.1968
"Apr 20, 2016",1.1990
"Apr 19, 2016",1.2010
"Apr 18, 2016",1.1976
"Apr 15, 2016",1.1972
"Apr 14, 2016",1.1968
"Apr 13, 2016",1.1976
"Apr 12, 2016",1.1994
"Apr 11, 2016",1.2004
"Apr 08, 2016",1.1997
"Apr 07, 2016",1.1989
"Apr 06, 2016",1.1969
"Apr 05, 2016",1.1973
"Apr 04, 2016",1.1969
"Apr 01, 2016",1.1964
"Mar 31, 2016",1.2025
"Mar 30, 2016",1.1992
"Mar 29, 2016",1.1921
"Mar 28, 2016",1.1931
"Mar 25, 2016",1.1924
"Mar 24, 2016",1.1896
"Mar 23, 2016",1.1917
"Mar 22, 2016",1.1944
"Mar 21, 2016",1.1954
"Mar 18, 2016",1.1990
"Mar 17, 2016",1.1978
"Mar 16, 2016",1.1901
"Mar 15, 2016",1.1913
"Mar 14, 2016",1.1935
"Mar 11, 2016",1.1945
"Mar 10, 2016",1.1924
"Mar 09, 2016",1.1920
"Mar 08, 2016",1.1946
"Mar 07, 2016",1.1915
"Mar 04, 2016",1.1924
"Mar 03, 2016",1.1892
"Mar 02, 2016",1.1867
"Mar 01, 2016",1.1864
"Feb 29, 2016",1.1863
"Feb 26, 2016",1.1884
"Feb 25, 2016",1.1897
"Feb 24, 2016",1.1891
"Feb 23, 2016",1.1905
"Feb 22, 2016",1.1916
"Feb 19, 2016",1.1923
"Feb 18, 2016",1.1936
"Feb 17, 2016",1.1924
"Feb 16, 2016",1.1952
"Feb 15, 2016",1.1991
"Feb 12, 2016",1.1846
"Feb 11, 2016",1.1852
"Feb 10, 2016",1.1853
"Feb 09, 2016",1.1859
"Feb 08, 2016",1.1856
"Feb 05, 2016",1.1853
"Feb 04, 2016",1.1861
"Feb 03, 2016",1.1856
"Feb 02, 2016",1.1840
"Feb 01, 2016",1.1822
"Jan 29, 2016",1.1836
"Jan 28, 2016",1.1847
"Jan 27, 2016",1.1847
"Jan 26, 2016",1.1838
"Jan 25, 2016",1.1851
"Jan 22, 2016",1.1855
"Jan 21, 2016",1.1865
"Jan 20, 2016",1.1884
"Jan 19, 2016",1.1895
"Jan 18, 2016",1.1856
"Jan 15, 2016",1.1844
"Jan 14, 2016",1.1808
"Jan 13, 2016",1.1804
"Jan 12, 2016",1.1805
"Jan 11, 2016",1.1820
"Jan 08, 2016",1.1764
"Jan 07, 2016",1.1764
"Jan 06, 2016",1.1824
"Jan 05, 2016",1.1882
"Jan 04, 2016",1.1857
"Jan 01, 2016",1.1937
"Dec 31, 2015",1.1941
"Dec 30, 2015",1.1941
"Dec 29, 2015",1.1951
"Dec 28, 2015",1.1948
"Dec 25, 2015",1.1744
"Dec 24, 2015",1.1993
"Dec 23, 2015",1.1966
"Dec 22, 2015",1.1965
"Dec 21, 2015",1.1962
"Dec 18, 2015",1.1959
"Dec 17, 2015",1.1959
"Dec 16, 2015",1.1975
"Dec 15, 2015",1.1995
"Dec 14, 2015",1.1995
"Dec 11, 2015",1.2001
"Dec 10, 2015",1.2041
"Dec 09, 2015",1.2053
"Dec 08, 2015",1.2079
"Dec 07, 2015",1.2092
"Dec 04, 2015",1.2115
"Dec 03, 2015",1.2112
"Dec 02, 2015",1.2112
"Dec 01, 2015",1.2112
"Nov 30, 2015",1.2115
"Nov 27, 2015",1.2120
"Nov 26, 2015",1.2128
"Nov 25, 2015",1.2130
"Nov 24, 2015",1.2129
"Nov 23, 2015",1.2134
"Nov 20, 2015",1.2136
"Nov 19, 2015",1.2144
"Nov 18, 2015",1.2138
"Nov 17, 2015",1.2151
"Nov 16, 2015",1.2166
"Nov 13, 2015",1.2163
"Nov 12, 2015",1.2167
"Nov 11, 2015",1.2171
"Nov 10, 2015",1.2181
"Nov 09, 2015",1.2182
"Nov 06, 2015",1.2203
"Nov 05, 2015",1.2215
"Nov 04, 2015",1.2235
"Nov 03, 2015",1.2229
"Nov 02, 2015",1.2228
"Oct 30, 2015",1.2266
"Oct 29, 2015",1.2190
"Oct 28, 2015",1.2180
"Oct 27, 2015",1.2199
"Oct 26, 2015",1.2205
"Oct 23, 2015",1.2202
"Oct 22, 2015",1.2188
"Oct 21, 2015",1.2207
"Oct 20, 2015",1.2208
"Oct 19, 2015",1.2186
"Oct 16, 2015",1.2191
"Oct 15, 2015",1.2210
"Oct 14, 2015",1.2210
"Oct 13, 2015",1.2216
"Oct 12, 2015",1.2255
"Oct 09, 2015",1.2210
"Oct 08, 2015",1.2196
"Oct 07, 2015",1.2192
"Oct 06, 2015",1.2193
"Oct 05, 2015",1.2197
"Oct 02, 2015",1.2195
"Oct 01, 2015",1.2195
"Sep 30, 2015",1.2191
"Sep 29, 2015",1.2179
"Sep 28, 2015",1.2170
"Sep 25, 2015",1.2159
"Sep 24, 2015",1.2142
"Sep 23, 2015",1.2142
"Sep 22, 2015",1.2158
"Sep 21, 2015",1.2168
"Sep 18, 2015",1.2170
"Sep 17, 2015",1.2179
"Sep 16, 2015",1.2169
"Sep 15, 2015",1.2165
"Sep 14, 2015",1.2172
"Sep 11, 2015",1.2163
"Sep 10, 2015",1.2150
"Sep 09, 2015",1.2151
"Sep 08, 2015",1.2171
"Sep 07, 2015",1.2171
"Sep 04, 2015",1.2191
"Sep 03, 2015",1.2196
"Sep 02, 2015",1.2190
"Sep 01, 2015",1.2183
"Aug 31, 2015",1.2153
"Aug 28, 2015",1.2125
"Aug 27, 2015",1.2096
"Aug 26, 2015",1.2095
"Aug 25, 2015",1.2088
"Aug 24, 2015",1.2101
"Aug 21, 2015",1.2141
"Aug 20, 2015",1.2131
"Aug 19, 2015",1.2124
"Aug 18, 2015",1.2128
"Aug 17, 2015",1.2128
"Aug 14, 2015",1.2130
"Aug 13, 2015",1.2124
"Aug 12, 2015",1.2146
"Aug 11, 2015",1.2263
"Aug 10, 2015",1.2482
"Aug 07, 2015",1.2490
"Aug 06, 2015",1.2481
"Aug 05, 2015",1.2484
"Aug 04, 2015",1.2481
"Aug 03, 2015",1.2484
"Jul 31, 2015",1.2486
"Jul 30, 2015",1.2485
"Jul 29, 2015",1.2478
"Jul 28, 2015",1.2486
"Jul 27, 2015",1.2484
"Jul 24, 2015",1.2490
"Jul 23, 2015",1.2479
"Jul 22, 2015",1.2480
"Jul 21, 2015",1.2479
"Jul 20, 2015",1.2482
"Jul 17, 2015",1.2478
"Jul 16, 2015",1.2487
"Jul 15, 2015",1.2480
"Jul 14, 2015",1.2484
"Jul 13, 2015",1.2487
"Jul 10, 2015",1.2482
"Jul 09, 2015",1.2488
