Date, Close,Volume
"Mar 23 2015",46.70,48779548
"Mar 20 2015",46.08,107391552
"Mar 19 2015",44.20,54142826
"Mar 18 2015",43.80,65879166
"Mar 17 2015",43.40,54259892
"Mar 16 2015",43.20,48974192
"Mar 13 2015",41.90,33009316
"Mar 12 2015",41.52,28552236
"Mar 11 2015",40.98,31335110
"Mar 10 2015",41.00,42627352
"Mar 9 2015",41.92,35510666
"Mar 6 2015",41.18,24015554
"Mar 5 2015",41.08,44790086
"Mar 4 2015",41.80,40548524
"Mar 3 2015",42.45,42734334
"Mar 2 2015",43.32,55270942
"Feb 27 2015",43.05,41479904
"Feb 26 2015",43.20,42260510
"Feb 25 2015",42.60,30055740
"Feb 24 2015",42.78,21073336
"Feb 23 2015",42.58,24946456
"Feb 18 2015",42.95,11497152
"Feb 17 2015",42.92,18633926
"Feb 16 2015",42.92,30496124
"Feb 13 2015",42.78,38809042
"Feb 12 2015",41.52,31248324
"Feb 11 2015",41.30,25432760
"Feb 10 2015",41.08,22979292
"Feb 9 2015",40.88,30075162
"Feb 6 2015",40.90,39129144
"Feb 5 2015",41.50,55399388
"Feb 4 2015",41.48,37364388
"Feb 3 2015",41.70,51786346
"Feb 2 2015",40.62,52051184
"Jan 30 2015",41.22,34235752
"Jan 29 2015",41.50,58649952
"Jan 28 2015",42.42,42199022
"Jan 27 2015",42.90,48745536
"Jan 26 2015",43.75,36799398
"Jan 23 2015",43.48,64706138
"Jan 22 2015",42.65,58842264
"Jan 21 2015",43.28,67617452
"Jan 20 2015",41.82,90891092
"Jan 19 2015",40.55,158017454
"Jan 16 2015",44.28,123071060
"Jan 15 2015",43.40,91616648
"Jan 14 2015",41.60,54127536
"Jan 13 2015",41.55,44744980
"Jan 12 2015",41.28,68046890
"Jan 9 2015",41.58,111638204
"Jan 8 2015",40.98,73763956
"Jan 7 2015",40.18,66641442
"Jan 6 2015",40.05,74353340
"Jan 5 2015",41.10,79182312
"Jan 2 2015",41.55,84018150
"Dec 31 2014",39.50,28536182
"Dec 30 2014",39.40,55877600
"Dec 29 2014",39.58,116637422
"Dec 24 2014",36.78,32302270
"Dec 23 2014",37.95,60684762
"Dec 22 2014",38.50,81847782
"Dec 19 2014",37.22,97063840
"Dec 18 2014",37.08,81733320
"Dec 17 2014",36.65,64097130
"Dec 16 2014",36.82,80099024
"Dec 15 2014",36.22,65967874
"Dec 12 2014",37.00,76993790
"Dec 11 2014",36.80,154341682
"Dec 10 2014",36.50,119765720
"Dec 9 2014",35.70,156270278
"Dec 8 2014",38.12,170773412
"Dec 5 2014",36.50,156685526
"Dec 4 2014",36.52,162157496
"Dec 3 2014",35.28,220269870
"Dec 2 2014",34.40,199580176
"Dec 1 2014",32.40,224344600
"Nov 28 2014",32.48,54811054
"Nov 27 2014",32.08,88218976
"Nov 26 2014",32.00,100788806
"Nov 25 2014",30.78,34590958
"Nov 24 2014",30.95,95792218
"Nov 21 2014",29.40,28930514
"Nov 20 2014",29.08,42399978
"Nov 19 2014",29.45,21504796
"Nov 18 2014",29.42,33324238
"Nov 17 2014",29.98,29243168
"Nov 14 2014",30.40,33930988
"Nov 13 2014",30.30,40759774
"Nov 12 2014",29.62,68064736
"Nov 11 2014",30.08,36560554
"Nov 10 2014",29.90,83868470
"Nov 6 2014",30.72,16425208
"Nov 5 2014",30.92,26704994
"Nov 4 2014",31.38,21012246
"Nov 3 2014",31.40,18148186
"Oct 31 2014",31.68,36602718
"Oct 30 2014",31.00,31290442
"Oct 29 2014",31.32,57980300
"Oct 28 2014",30.45,34025788
"Oct 27 2014",29.55,13151182
"Oct 24 2014",29.72,17806778
"Oct 23 2014",29.85,13308500
"Oct 22 2014",29.72,20344506
"Oct 21 2014",29.50,14557804
"Oct 20 2014",29.48,14764066
"Oct 17 2014",29.40,25270128
"Oct 16 2014",29.10,17881700
"Oct 15 2014",29.25,18397978
"Oct 14 2014",29.22,15300002
"Oct 13 2014",29.35,23661646
"Oct 10 2014",29.42,17170296
"Oct 9 2014",29.95,20333398
"Oct 8 2014",29.55,18177694
"Oct 7 2014",29.58,15991616
