Date,Close,Volume
"Jul 3 2015",37.25,404177490
"Jul 2 2015",38.85,377777802
"Jul 1 2015",39.32,294089128
"Jun 30 2015",40.98,466572686
"Jun 29 2015",38.28,503924412
"Jun 26 2015",38.70,469190236
"Jun 25 2015",41.22,216844658
"Jun 24 2015",42.42,247393890
"Jun 23 2015",42.20,336843290
"Jun 19 2015",40.20,286403974
"Jun 18 2015",42.00,251110680
"Jun 17 2015",43.50,205296400
"Jun 16 2015",43.25,249995020
"Jun 15 2015",43.50,307883632
"Jun 12 2015",45.09,275049972
"Jun 11 2015",45.15,427215626
"Jun 10 2015",44.22,219809270
"Jun 9 2015",44.64,336904842
"Jun 8 2015",46.00,567546496
"Jun 5 2015",43.48,325060876
"Jun 4 2015",44.00,366678186
"Jun 3 2015",42.78,237345636
"Jun 2 2015",43.18,275835932
"Jun 1 2015",43.72,359585800
"May 29 2015",42.74,295552446
"May 28 2015",42.64,392525176
"May 27 2015",45.53,272110182
"May 26 2015",46.56,343822314
"May 25 2015",45.80,369448492
"May 22 2015",44.79,370673410
"May 21 2015",43.32,225494022
"May 20 2015",42.80,286566246
"May 19 2015",42.73,308744514
"May 18 2015",41.20,247130904
"May 15 2015",42.20,312141804
"May 14 2015",43.16,264145056
"May 13 2015",43.52,294088992
"May 12 2015",44.48,293920204
"May 11 2015",44.36,365459192
"May 8 2015",43.45,316411440
"May 7 2015",43.50,336521280
"May 6 2015",44.29,697853516
"May 5 2015",43.06,398951612
"May 4 2015",45.26,367971888
"Apr 30 2015",44.32,468195548
"Apr 29 2015",43.74,366053226
"Apr 28 2015",43.04,408171910
"Apr 27 2015",43.16,349078810
"Apr 24 2015",42.42,468011274
"Apr 23 2015",44.04,351014106
"Apr 22 2015",45.06,353371704
"Apr 21 2015",44.00,368952794
"Apr 20 2015",42.78,478401088
"Apr 17 2015",44.98,457820694
"Apr 16 2015",45.40,528503218
"Apr 15 2015",42.24,328429514
"Apr 14 2015",42.35,315689824
"Apr 13 2015",43.11,459336368
"Apr 10 2015",43.14,512502138
"Apr 9 2015",40.74,507479340
"Apr 8 2015",41.20,554415616
"Apr 7 2015",40.58,429596556
"Apr 3 2015",39.36,258001712
"Apr 2 2015",39.02,338041998
"Apr 1 2015",39.57,365022124
"Mar 31 2015",39.14,486231672
"Mar 30 2015",39.99,470057992
"Mar 27 2015",38.36,243902936
"Mar 26 2015",39.07,516674458
"Mar 25 2015",37.54,332953892
"Mar 24 2015",37.88,422490600
"Mar 23 2015",38.98,385496254
"Mar 20 2015",39.20,595226160
"Mar 19 2015",37.88,315738810
"Mar 18 2015",38.70,382288808
"Mar 17 2015",37.28,450237538
"Mar 16 2015",36.74,441466970
"Mar 13 2015",34.50,256323822
"Mar 12 2015",34.40,315517762
"Mar 11 2015",33.10,214157114
"Mar 10 2015",32.83,166071524
"Mar 9 2015",33.16,288700274
"Mar 6 2015",32.50,158810886
"Mar 5 2015",32.59,296753214
"Mar 4 2015",33.48,209203550
"Mar 3 2015",33.57,281991302
"Mar 2 2015",34.94,267739142
"Feb 27 2015",35.15,190865230
"Feb 26 2015",35.00,235727116
"Feb 25 2015",34.12,208092404
"Feb 17 2015",35.30,189969296
"Feb 16 2015",35.15,192332908
"Feb 13 2015",34.98,218454782
"Feb 12 2015",34.94,167404342
"Feb 11 2015",35.06,212409146
"Feb 10 2015",34.24,196124462
"Feb 9 2015",34.00,282331994
"Feb 6 2015",33.16,297367188
"Feb 5 2015",32.98,365907612
"Feb 4 2015",33.75,255761230
"Feb 3 2015",34.56,381434408
"Feb 2 2015",33.12,304440510
"Jan 30 2015",34.65,278776540
"Jan 29 2015",35.22,312613436
"Jan 28 2015",36.15,256070998
"Jan 27 2015",36.97,437121210
"Jan 26 2015",37.70,277721270
"Jan 23 2015",38.38,468746414
"Jan 22 2015",37.74,429408846
"Jan 21 2015",38.75,585160140
"Jan 20 2015",35.34,530232784
"Jan 19 2015",35.23,580069890
"Jan 16 2015",39.12,463501726
"Jan 15 2015",39.41,515807572
"Jan 14 2015",36.95,291821144
"Jan 13 2015",37.57,301848710
"Jan 12 2015",37.59,531254290
"Jan 9 2015",36.48,623746804
"Jan 8 2015",35.58,357761830
"Jan 7 2015",36.72,340773768
"Jan 6 2015",36.88,468455938
"Jan 5 2015",38.09,487143546
"Dec 31 2014",37.38,399089836
"Dec 30 2014",36.50,436108602
"Dec 29 2014",35.50,728453582
"Dec 26 2014",33.88,529565212
"Dec 25 2014",31.70,438103894
"Dec 24 2014",30.35,468883074
"Dec 23 2014",32.70,459004472
"Dec 22 2014",32.90,435751000
"Dec 19 2014",32.47,349496548
"Dec 18 2014",32.85,510282662
